Key,Text_EN
frozenlayer.magazinetext,00
goldpanel.txtgold,1000
holder.magazinetext,00
itembtn.textitem,0
itembtn.textitemoutline,0
itembtn.txtlock,Lv.15
itembtn.txtlockoutline,Lv.15
lobbyrailbox.textlevel,30
lobbyrailbox.textleveloutline,30
multiplier.textmultiplierx1,x1
multiplier.textmultiplierx10,x10
multiplier.textmultiplierx100,x100
multiplier.textmultiplierx25,x25
multiplier.textmultiplierx5,x5
multiplier.textyellowoutlinex10,x10
multiplier.textyellowoutlinex100,x100
multiplier.textyellowoutlinex1_,x1
multiplier.textyellowoutlinex25,x25
multiplier.textyellowoutlinex5,x5
multiplier.textyellowx10,x10
multiplier.textyellowx100,x100
multiplier.textyellowx1_,x1
multiplier.textyellowx25,x25
multiplier_1.textmultiplierx1,x1
multiplier_1.textmultiplierx10,x10
multiplier_1.textmultiplierx100,x100
multiplier_1.textmultiplierx25,x25
multiplier_1.textmultiplierx5,x5
multiplier_1.textyellowoutlinex10,x10
multiplier_1.textyellowoutlinex100,x100
multiplier_1.textyellowoutlinex1_,x1
multiplier_1.textyellowoutlinex25,x25
multiplier_1.textyellowoutlinex5,x5
multiplier_1.textyellowx10,x10
multiplier_1.textyellowx100,x100
multiplier_1.textyellowx1_,x1
multiplier_1.textyellowx25,x25
newfeature.textdesctiption,TextDesctiptionTextDesctiptionTextDesctiptionTextDesctiptionTextDesctiptionTextDesctiption
newfeature.textname,Hidden Dart Box
newfeature.textnameoutline,Hidden Dart Box
newfeature.textunlock,Unlocked!
newfeature.textunlockoutline,Unlocked!
newfeature.txtplay,"Continue
"
newfeature.txtplayoutline,"Continue
"
popupbuyitem.btnsingleoutline,"Resume
"
popupbuyitem.txtblueoutline,"Quit
"
popupbuyitem.txtbtnbuy,Buy
popupbuyitem.txtbtnbuyoutline,Buy
popupbuyitem.txtbtnsingle,"Resume
"
popupbuyitem.txtdescription,Item DescriptionItem DescriptionItem Description
popupbuyitem.txtgold,1900
popupbuyitem.txtgoldoutline,1900
popupbuyitem.txtgreen,Stay
popupbuyitem.txtgreenoutline,Stay
popupbuyitem.txtitemamount,x3
popupbuyitem.txtitemamountoutline,x3
popupbuyitem.txtred,"Quit
"
popupbuyitem.txtredoutline,"Quit
"
popupbuyitem.txttitle,Zap
popupbuyitem.txttitleoutline,Zap
popupcommonframe.txtblueoutline,"Quit
"
popupcommonframe.txtbtnsingle,"Resume
"
popupcommonframe.txtgreen,Stay
popupcommonframe.txtgreenoutline,Stay
popupcommonframe.txtred,"Quit
"
popupcommonframe.txtredoutline,"Quit
"
popupcommonframe.txtsingleoutline,"Resume
"
popupcommonframe.txttitle,"Title
"
popupcommonframe.txttitleoutline,"Title
"
popupcontinue.costlabel,Cost:
popupcontinue.costtext,FREE
popupcontinue.textmultiplierx1,x1
popupcontinue.textmultiplierx10,x10
popupcontinue.textmultiplierx100,x100
popupcontinue.textmultiplierx25,x25
popupcontinue.textmultiplierx5,x5
popupcontinue.textyellowoutlinex10,x10
popupcontinue.textyellowoutlinex100,x100
popupcontinue.textyellowoutlinex1_,x1
popupcontinue.textyellowoutlinex25,x25
popupcontinue.textyellowoutlinex5,x5
popupcontinue.textyellowx10,x10
popupcontinue.textyellowx100,x100
popupcontinue.textyellowx1_,x1
popupcontinue.textyellowx25,x25
popupcontinue.txtblueoutline,"Quit
"
popupcontinue.txtbtnsingle,"Resume
"
popupcontinue.txtcontinue,Play On
popupcontinue.txtcontinueoutline,Play On
popupcontinue.txtcontinuetitle,Continue?
popupcontinue.txtcontinuetitleoutline,Continue?
popupcontinue.txtdescription,You will lose 1 Life!!
popupcontinue.txtgold,1000
popupcontinue.txtgoldoutline,900
popupcontinue.txtgreen,Stay
popupcontinue.txtgreenoutline,Stay
popupcontinue.txtred,"Quit
"
popupcontinue.txtredoutline,"Quit
"
popupcontinue.txtsingleoutline,"Resume
"
popupcontinue.txttitle,"Title
"
popupcontinue.txttitleoutline,"Title
"
popupdescription.txtblueoutline,"Quit
"
popupdescription.txtbtnsingle,"Resume
"
popupdescription.txtdescription,TxtDescriptionTxtDescriptionTxtDescriptionTxtDescriptionTxtDescription
popupdescription.txtgreen,Continue
popupdescription.txtgreenoutline,Continue
popupdescription.txtred,"Quit
"
popupdescription.txtredoutline,"Quit
"
popupdescription.txtsingleoutline,"Resume
"
popupdescription.txttitle,"Title
"
popupdescription.txttitleoutline,"Title
"
popuperror.txtblueoutline,"Quit
"
popuperror.txtbtnsingle,Continue
popuperror.txtdescription,Item DescriptionItem DescriptionItem Description
popuperror.txtgreen,Continue
popuperror.txtgreenoutline,Continue
popuperror.txtred,"Quit
"
popuperror.txtredoutline,"Quit
"
